date,year,Tank,total consumer (g C m2),Total primary (g C m2),CO2 flux (mg C m2 d-1),Nutrients,Fish,Warming
may,2010,A1,0.120832016,0.170890694,-5.38761744,no,no,yes
may,2010,A2,0.273489649,0.897152976,3.924457066,yes,no,yes
may,2010,A3,0.121030814,0.167612348,20.44632099,no,no,yes
may,2010,A4,0.418103348,1.852596581,-48.57270855,yes,yes,yes
may,2010,A5,0.039398246,0.607828544,-24.69862846,no,yes,no
may,2010,B1,0.366433929,2.673679797,-23.72752549,yes,yes,no
may,2010,B2,0.637977997,1.503985346,9.555169123,yes,no,no
may,2010,B3,0.078719681,0.289517988,28.24042263,no,no,no
may,2010,B4,0.231745972,0.391080485,56.17528482,no,yes,yes
may,2010,B5,0.156814622,1.219295452,-25.46450465,yes,yes,yes
may,2010,C1,0.047372855,0.843588131,-2.688549245,no,yes,yes
may,2010,C2,0.230907283,5.927833444,-85.29648276,yes,yes,no
may,2010,C3,0.334679094,0.629957543,12.36896739,yes,no,yes
may,2010,C4,0.069599972,0.345405475,-43.38011773,no,yes,no
may,2010,C5,0.276663152,1.062099311,-26.52092195,yes,no,no
may,2010,D1,0.066673998,0.624210951,67.10164264,no,no,no
may,2010,D2,0.118975327,0.601444614,-6.502282003,yes,yes,yes
may,2010,D3,0.00957247,0.493603636,41.03580497,no,yes,yes
may,2010,D4,0.034086524,0.171013525,-23.92503156,no,yes,no
may,2010,D5,0.131651088,4.297088806,-67.53817283,yes,yes,no
may,2010,E1,0.519919996,0.424296784,-3.914273065,yes,no,yes
may,2010,E2,1.120127167,0.846634748,32.28349837,yes,no,yes
may,2010,E3,0.035112694,0.292984443,1.995011642,no,no,no
may,2010,E4,0.025330957,0.399552861,-23.02351928,no,yes,yes
may,2010,E5,0.693182017,0.807696961,-25.30812897,yes,no,yes
may,2010,F1,0.03158647,0.372144808,12.22765871,no,no,yes
may,2010,F2,0.22260245,1.13492264,21.89072642,yes,yes,yes
may,2010,F3,1.0622579,0.496080066,-51.80971562,yes,yes,yes
may,2010,F4,0.018105181,0.350003935,1.508520334,no,yes,yes
may,2010,F5,0.161509041,0.160623956,7.366167806,no,no,no
may,2010,G1,0.92218281,2.13641989,-40.01244871,yes,no,no
may,2010,G2,0.487462822,0.289160484,81.74603299,no,no,yes
may,2010,G3,0.113405961,1.809358145,-51.76574958,yes,yes,no
may,2010,G4,0.318697538,0.698276414,-84.68688001,yes,no,no
may,2010,G5,0.124291479,7.549135025,-88.49085595,yes,yes,no
may,2010,H1,0.044012993,0.260466309,-19.93782847,no,no,yes
may,2010,H2,0.444738176,1.217869452,26.08576609,yes,no,no
may,2010,H3,0.033402803,0.235305263,-37.51167024,no,yes,no
may,2010,H4,0.032500654,0.330507486,19.86666623,no,no,no
may,2010,H5,0.022304452,0.378476598,-8.5888398,no,yes,no
oct,2010,A1,1.118941873,0.155990052,-31.35754827,no,no,yes
oct,2010,A2,0.630591535,0.519534663,8.527467669,yes,no,yes
oct,2010,A3,0.015280174,0.176588573,15.28654356,no,no,yes
oct,2010,A4,0.051958383,1.813112976,-21.74774794,yes,yes,yes
oct,2010,A5,0.01227748,0.603975065,-89.87674647,no,yes,no
oct,2010,B1,0.126818108,2.144944384,-71.95187679,yes,yes,no
oct,2010,B2,0.352001697,0.625094274,-84.87244162,yes,no,no
oct,2010,B3,0.255736788,0.35974344,-23.7976039,no,no,no
oct,2010,B4,0.048878631,0.282203753,-27.99763603,no,yes,yes
oct,2010,B5,0.002470837,0.920957723,-26.94825369,yes,yes,yes
oct,2010,C1,0.025256717,0.2393885,-1.992446971,no,yes,yes
oct,2010,C2,0.009378456,21.67794166,-82.95529329,yes,yes,no
oct,2010,C3,1.61388581,1.172091151,-19.10919532,yes,no,yes
oct,2010,C4,0.007367611,0.537089915,-99.64086406,no,yes,no
oct,2010,C5,0.325530053,1.959422634,-63.25509249,yes,no,no
oct,2010,D1,0.210508006,0.299345196,32.67609661,no,no,no
